Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method,Days Since Last Purchase,Churn Risk,Days Between Purchases,Predicted Days Until Next Purchase,Predicted Next Purchase Date,Purchase Count,Total Revenue,Customer Lifetime Value (CLV),Hour of Purchase,Minute of Purchase,Hour-Minute
4018,Handbag,4619.0,2023-02-05,,Credit Card,13,0,0.24366110080395795,0.24366110080395864,2023-02-05,20,6355.0,6355.0,0,0,00:00
4115,Tunic,2456.0,2023-07-11,2.0,Credit Card,11,0,0.24366110080395795,0.24366110080395822,2023-07-11,23,4917.0,4917.0,0,0,00:00
4019,Tank Top,2102.0,2023-03-23,4.1,Cash,1,0,0.24366110080395795,0.24366110080395817,2023-03-23,17,3928.0,3928.0,0,0,00:00
4097,Leggings,3126.0,2023-03-15,3.2,Cash,116,1,0.24366110080395795,0.24366110080395836,2023-03-15,11,4256.0,4256.0,0,0,00:00
3997,Wallet,3003.0,2022-11-27,4.7,Cash,23,0,0.24366110080395795,0.24366110080395834,2022-11-27,17,4219.0,4219.0,0,0,00:00
4080,Onesie,2914.0,2022-12-11,4.5,Credit Card,9,0,0.24366110080395795,0.2436611008039583,2022-12-11,15,4481.0,4481.0,0,0,00:00
4055,Jacket,2571.0,2023-07-08,1.3,Cash,14,0,0.24366110080395795,0.24366110080395825,2023-07-08,18,4458.0,4458.0,0,0,00:00
3973,Trousers,2419.0,2022-11-10,4.6,Cash,27,0,0.24366110080395795,0.24366110080395822,2022-11-10,29,5532.0,5532.0,0,0,00:00
4044,Jeans,4771.0,2023-05-19,4.1,Cash,38,0,0.24366110080395795,0.24366110080395867,2023-05-19,24,9405.0,9405.0,0,0,00:00
4010,Loafers,4233.0,2023-06-11,,Credit Card,24,0,0.24366110080395795,0.24366110080395856,2023-06-11,24,7063.0,7063.0,0,0,00:00
4108,Slippers,2356.0,2023-03-19,4.8,Credit Card,0,0,0.24366110080395795,0.24366110080395822,2023-03-19,26,7634.0,7634.0,0,0,00:00
4067,Bowtie,4418.0,2022-11-21,3.4,Cash,14,0,0.24366110080395795,0.24366110080395859,2022-11-21,21,6638.0,6638.0,0,0,00:00
4068,Pajamas,3728.0,2022-12-09,,Credit Card,17,0,0.24366110080395795,0.24366110080395847,2022-12-09,26,6157.0,6157.0,0,0,00:00
4102,Trench Coat,2130.0,2023-01-29,4.8,Cash,24,0,0.24366110080395795,0.24366110080395817,2023-01-29,26,4855.0,4855.0,0,0,00:00
4044,Handbag,2122.0,2023-08-01,1.2,Credit Card,38,0,74.0,73.99999999999999,2023-10-14,24,9405.0,9405.0,0,0,00:00
4096,Poncho,2383.0,2023-04-10,,Credit Card,1,0,0.24366110080395795,0.24366110080395822,2023-04-10,12,3513.0,3513.0,0,0,00:00
4017,Gloves,2895.0,2023-07-17,3.6,Credit Card,3,0,0.24366110080395795,0.2436611008039583,2023-07-17,24,5232.0,5232.0,0,0,00:00
4001,Trench Coat,2952.0,2023-06-13,2.2,Cash,14,0,0.24366110080395795,0.24366110080395834,2023-06-13,22,5052.0,5052.0,0,0,00:00
3976,Slippers,4069.0,2023-06-18,4.9,Credit Card,3,0,0.24366110080395795,0.24366110080395853,2023-06-18,19,6271.0,6271.0,0,0,00:00
4103,Romper,4465.0,2022-11-21,,Credit Card,11,0,0.24366110080395795,0.24366110080395859,2022-11-21,23,6705.0,6705.0,0,0,00:00
4081,T-shirt,2108.0,2023-03-25,,Cash,9,0,0.24366110080395795,0.24366110080395817,2023-03-25,25,4627.0,4627.0,0,0,00:00
3986,Gloves,4298.0,2023-04-05,4.2,Cash,6,0,0.24366110080395795,0.24366110080395856,2023-04-05,23,6427.0,6427.0,0,0,00:00
4108,Jeans,2814.0,2023-02-11,4.4,Credit Card,0,0,-36.0,-35.99999999999999,2023-01-06,26,7634.0,7634.0,0,0,00:00
4109,Flip-Flops,4932.0,2022-12-20,4.0,Credit Card,1,0,0.24366110080395795,0.2436611008039587,2022-12-20,16,10015.0,10015.0,0,0,00:00
4075,Tunic,4661.0,2023-04-12,1.2,Credit Card,6,0,0.24366110080395795,0.24366110080395864,2023-04-12,28,7746.0,7746.0,0,0,00:00
